stage,little,medium,big,vulkan,cuda,device,run
1,177.2414,73.3188,76.1667,1.5418,0.0,9b034f1b,1
2,10.7051,4.1998,5.016,1.0256,0.0,9b034f1b,1
3,415.2308,191.037,217.8696,1.2284,0.0,9b034f1b,1
4,5.3806,2.1218,1.3742,0.9655,0.0,9b034f1b,1
5,390.4615,190.2222,133.5,1.2458,0.0,9b034f1b,1
6,771.8571,375.7857,393.6154,1.5273,0.0,9b034f1b,1
7,776.8571,377.3571,270.7368,1.5281,0.0,9b034f1b,1
8,2.2542,1.0542,1.2392,0.8828,0.0,9b034f1b,1
9,1.0373,0.7828,0.94,2.2638,0.0,9b034f1b,1
1,145.9714,73.2319,91.9273,1.5465,0.0,9b034f1b,2
2,10.5877,4.205,4.7502,1.1195,0.0,9b034f1b,2
3,416.1538,190.4444,179.5714,1.2314,0.0,9b034f1b,2
4,5.8051,2.0995,1.4301,0.9193,0.0,9b034f1b,2
5,390.6923,189.6296,191.6296,1.2565,0.0,9b034f1b,2
6,637.625,378.2143,344.2,1.5213,0.0,9b034f1b,2
7,642.875,378.7143,375.0714,1.5269,0.0,9b034f1b,2
8,2.2481,1.0555,1.2142,0.8905,0.0,9b034f1b,2
9,1.0434,0.7824,0.5646,2.2675,0.0,9b034f1b,2
1,146.6571,72.9275,63.7595,1.5441,0.0,9b034f1b,3
2,8.9128,4.1884,4.8385,1.0305,0.0,9b034f1b,3
3,343.0667,190.4444,133.5263,1.2265,0.0,9b034f1b,3
4,4.4741,2.0964,2.4101,0.9581,0.0,9b034f1b,3
5,321.9375,191.9259,175.3448,1.18,0.0,9b034f1b,3
6,640.0,376.1429,322.125,1.4939,0.0,9b034f1b,3
7,641.25,378.4286,376.6429,1.5267,0.0,9b034f1b,3
8,2.247,1.0537,1.2391,0.8636,0.0,9b034f1b,3
9,1.0401,0.7819,0.8126,2.2602,0.0,9b034f1b,3
1,157.5,73.058,73.8824,1.5422,0.0,9b034f1b,1
2,10.7009,4.1955,5.3948,1.0526,0.0,9b034f1b,1
3,411.7692,191.2222,229.9545,1.2378,0.0,9b034f1b,1
4,5.3519,2.0995,1.5386,0.9302,0.0,9b034f1b,1
5,324.75,190.5926,163.1613,1.2692,0.0,9b034f1b,1
6,636.75,376.2857,247.2857,1.5216,0.0,9b034f1b,1
7,643.75,378.7143,342.6667,1.5224,0.0,9b034f1b,1
8,2.2659,1.0531,1.2107,0.922,0.0,9b034f1b,1
9,1.0354,0.7823,0.9282,2.246,0.0,9b034f1b,1
1,148.2353,73.2609,48.019,1.5534,0.0,9b034f1b,2
2,8.8899,4.1971,5.011,0.9986,0.0,9b034f1b,2
3,342.9333,190.5926,178.2414,1.2299,0.0,9b034f1b,2
4,4.4458,2.1043,1.3154,0.9562,0.0,9b034f1b,2
5,320.25,190.6296,174.5862,1.2448,0.0,9b034f1b,2
6,637.5,376.7857,363.7143,1.5208,0.0,9b034f1b,2
7,641.875,378.7857,344.6667,1.529,0.0,9b034f1b,2
8,2.3484,1.054,1.2648,0.872,0.0,9b034f1b,2
9,1.0395,0.7839,0.4901,2.2506,0.0,9b034f1b,2
1,146.6857,73.3043,69.625,1.5421,0.0,9b034f1b,3
2,8.982,4.1945,4.0233,1.029,0.0,9b034f1b,3
3,342.3333,190.2593,168.6333,1.2326,0.0,9b034f1b,3
4,4.4621,2.0986,1.3136,0.9555,0.0,9b034f1b,3
5,323.9375,189.6667,200.32,1.2413,0.0,9b034f1b,3
6,636.25,381.8571,344.7333,1.5361,0.0,9b034f1b,3
7,645.125,376.0714,345.0667,1.5236,0.0,9b034f1b,3
8,2.2435,1.0562,1.1128,0.8768,0.0,9b034f1b,3
9,1.0365,0.7835,0.9318,2.2359,0.0,9b034f1b,3
