stage,little,medium,big,vulkan,device,run
1,36.7636,7.8069,5.055,2.7068,9b034f1b,1
2,28.4085,16.5328,9.8873,2.1549,9b034f1b,1
3,18.2818,4.022,2.6016,2.4229,9b034f1b,1
4,15.6641,8.6422,5.0504,1.527,9b034f1b,1
5,10.5684,2.3001,1.5052,1.4161,9b034f1b,1
6,10.5684,2.3028,1.5155,1.3431,9b034f1b,1
7,10.2653,2.2994,1.5071,1.3476,9b034f1b,1
8,8.3237,4.1191,2.7442,0.8699,9b034f1b,1
9,0.1338,0.0171,0.013,0.3318,9b034f1b,1
1,35.3684,7.6654,4.9533,2.4496,9b034f1b,2
2,30.5303,15.1504,9.7816,2.8868,9b034f1b,2
3,18.3853,3.9762,2.5891,2.4116,9b034f1b,2
4,16.6198,7.8249,5.117,1.4787,9b034f1b,2
5,11.5723,2.2906,1.4963,1.4341,9b034f1b,2
6,10.7634,2.2906,1.4963,1.4059,9b034f1b,2
7,10.5236,2.3264,1.5079,1.3463,9b034f1b,2
8,8.7087,4.0878,2.7326,0.9039,9b034f1b,2
9,0.0984,0.0171,0.0148,0.2899,9b034f1b,2
1,34.6207,7.5774,4.9337,2.6989,9b034f1b,3
2,29.2464,15.1729,9.8439,2.1197,9b034f1b,3
3,17.9732,4.002,2.6041,2.4137,9b034f1b,3
4,15.2045,7.8398,5.0939,1.4779,9b034f1b,3
5,9.9801,2.3031,1.5128,1.3463,9b034f1b,3
6,10.5183,2.459,1.5105,1.3483,9b034f1b,3
7,10.035,2.2963,1.5045,1.3443,9b034f1b,3
8,8.2213,4.1705,2.7517,0.8632,9b034f1b,3
9,0.1047,0.0168,0.0143,0.2861,9b034f1b,3
